lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000826,Bromley 021A,3.7,0.15,2.5,47.2,0,9.3,43.6,5.9,1.8,61658.00 ,1.3,2
E01000827,Bromley 021B,5.8,0.14,3.5,31.6,4.6,13.8,41.1,22.4,1.1,43044.00 ,2.5,2
E01000830,Bromley 021C,6.1,0.14,2.5,42.1,0.4,9.4,46.9,4.2,1.9,60034.00 ,1.6,2
E01000831,Bromley 021D,5.7,0.13,1.8,31.1,9.8,13.4,46.4,25,1.1,46772.00 ,2.6,2
E01000833,Bromley 021E,9.5,0.13,2.3,50.3,0.6,11.6,35.1,5.2,1.8,54779.00 ,1.7,2
E01000650,Bromley 022A,7.7,0.13,2.9,37.3,16.9,12.6,44.8,16.5,1.5,53936.00 ,2.5,2
E01000652,Bromley 022B,8,0.14,2.2,42.3,3,16.7,33.4,12.3,1.4,44938.00 ,2,2
E01000807,Bromley 022C,10.1,0.14,1.9,38.5,2.9,12.3,37.6,15.1,1.3,49453.00 ,3.2,0
E01000809,Bromley 022D,6.8,0.12,2.3,43.2,1.4,19.8,30.5,13.4,1.3,45185.00 ,3,0
E01000722,Bromley 023A,13.5,0.15,4.8,42.2,12.4,27,18.6,24,1.1,29493.00 ,3.6,0
E01000725,Bromley 023B,15.4,0.17,4.7,31.4,30.1,24.7,21.5,35.4,0.9,28120.00 ,3.4,0
E01000731,Bromley 023C,23.3,0.17,8,37.6,26.5,29.3,17.7,23.9,1.2,27896.00 ,1.9,2
