lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,birth_not_uk ,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01001932,Hammersmith and Fulham 011C,8.1,0.28,8.5,43.1,13.6,27.6,9.5,54.8,56,0.5,36798,3.9,1
E01001933,Hammersmith and Fulham 011D,9,0.17,8.8,33.3,18.9,19.5,8.4,55.3,43.6,0.7,47060,3.5,0
E01001866,Hammersmith and Fulham 012A,7.4,0.29,5.4,54.1,19.9,13.2,5.7,56.2,54.4,0.6,46487,6.8,1
E01001867,Hammersmith and Fulham 012B,5.9,0.35,5.2,55,20.3,14.4,8.9,54.1,65.5,0.4,37281,6.6,1
E01001868,Hammersmith and Fulham 012C,21.1,0.27,19.1,46.8,7.1,60,20.9,30.3,70,0.3,25936,6.2,1
E01001870,Hammersmith and Fulham 012D,7.2,0.38,6.8,55.9,19.2,13,6.5,60.5,68.5,0.4,36555,5.6,1
E01001871,Hammersmith and Fulham 012E,6.4,0.32,4.6,61.5,16.1,12.5,8.6,57,56,0.5,47680,6.3,1
E01001872,Hammersmith and Fulham 012F,5.5,0.3,5.8,53.5,20,18.6,7.2,58.6,64,0.4,43636,6.2,1
E01001893,Hammersmith and Fulham 013A,21.6,0.3,17.4,37.7,11.7,58.9,18.4,34,66.1,0.4,27800,6.9,1
E01001894,Hammersmith and Fulham 013B,12.8,0.28,18.4,42.8,10.5,43.5,18.2,43.7,65.3,0.4,31020,6.1,1
E01001898,Hammersmith and Fulham 013C,7.1,0.28,9.2,43.7,16.2,18.8,7.9,54.8,59.8,0.5,40953,7.1,1
E01001899,Hammersmith and Fulham 013D,18.2,0.23,15.1,42.3,7.4,64.8,25.2,31.3,71.9,0.4,26724,7,1
E01001900,Hammersmith and Fulham 013E,13.8,0.3,14.8,45.2,9.8,51.2,18.6,40.8,67.5,0.4,32216,6.8,1
E01001889,Hammersmith and Fulham 014A,7.1,0.34,6.8,41.4,27.5,19.6,8.7,59.2,48.9,0.6,48469,4.7,1
E01001910,Hammersmith and Fulham 014B,5,0.3,7.5,50.8,18.3,21.3,7.2,60.5,69.5,0.3,41236,5.2,1
E01001913,Hammersmith and Fulham 014C,3.2,0.39,1.5,40.8,24.2,3.7,3.2,74.6,51.3,0.6,59306,4.5,1
E01001914,Hammersmith and Fulham 014D,5.3,0.4,8.2,57,16.3,19.6,7.7,57.1,71.9,0.3,36349,5.3,1
E01001885,Hammersmith and Fulham 015A,28.3,0.2,28.1,42.8,5.6,78.6,28.8,22.5,70.3,0.4,21568,4.9,1
E01001908,Hammersmith and Fulham 015B,5.8,0.36,5.7,55.9,18.4,13.6,6.6,58.1,70.1,0.3,38438,5.1,1
E01001909,Hammersmith and Fulham 015C,9.7,0.3,9.4,42.1,18.8,34.3,15,49.5,57.5,0.5,35191,5.3,1
E01001911,Hammersmith and Fulham 015D,21,0.26,23.2,44,12.1,59.9,20.4,35.7,67,0.4,25954,5.3,1
E01001912,Hammersmith and Fulham 015E,21.7,0.28,21,45.2,9.3,58.5,19.4,28.6,63,0.4,25244,6,1
E01001886,Hammersmith and Fulham 016A,17.2,0.31,14.2,40.5,19.4,38.7,16.6,40.3,56.1,0.5,31180,3.5,0
E01001887,Hammersmith and Fulham 016B,10.3,0.34,11.1,40.5,16.1,43.5,17.4,43.5,59.9,0.5,31808,3.9,0
E01001890,Hammersmith and Fulham 016C,5.3,0.4,9.8,53.6,11.3,49.1,6.5,57.4,71.8,0.3,35632,4.5,1
E01001892,Hammersmith and Fulham 016D,17.7,0.29,16.5,39.2,17,50.1,17.7,41.6,58.8,0.5,30655,3.4,0
E01001880,Hammersmith and Fulham 017A,9.4,0.26,7.3,41.2,11.2,38.4,16.9,48,60.1,0.5,36767,5.1,1
E01001881,Hammersmith and Fulham 017B,8.5,0.31,4.9,45.2,19.1,17,9.5,58.6,53.6,0.6,52187,5.6,1
E01001882,Hammersmith and Fulham 017C,5.6,0.38,5.6,46.4,25.1,11,7.1,60.9,50.7,0.6,52500,4.8,1
E01001883,Hammersmith and Fulham 017D,9,0.34,7.7,45.7,15.3,35,14.3,45.8,63.9,0.4,34708,6.7,1
E01001884,Hammersmith and Fulham 017E,8.2,0.28,10.7,44.9,11.2,46.3,16.8,45.4,67.8,0.4,34299,6.6,1
E01001888,Hammersmith and Fulham 018A,7,0.29,3.4,37.2,29.5,15.7,11.1,54.1,43.6,0.7,47653,3.7,0
E01001891,Hammersmith and Fulham 018B,4.6,0.42,4.7,49.2,19.6,7.3,7.4,59.2,58.1,0.5,44278,5.1,1
E01001917,Hammersmith and Fulham 018C,8.3,0.21,4,33.7,23.8,27.9,16.4,49.5,47.1,0.7,46207,3.2,0
