lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01003518,Newham 032D,20.6,22.3,38.3,29.8,20.6,3.9,0.9,34822.00 ,2.7,0
E01003519,Newham 032E,22.5,31.1,21.7,31.8,21.4,4.6,0.8,25997.00 ,3.3,0
E01003480,Newham 033A,24.4,17.2,20.5,31.3,17.1,4.7,0.7,29875.00 ,3.7,0
E01003482,Newham 033B,27.5,21.7,24.4,38.8,13.8,3.2,0.7,37211.00 ,2.5,2
E01003486,Newham 033C,26.4,32.1,5.3,10.1,31.2,10.2,0.5,22254.00 ,3.7,0
E01003487,Newham 033D,31.9,23,11.8,15.8,25,6.3,0.8,25005.00 ,3.5,0
E01003497,Newham 034A,13.6,22.7,15.6,30.5,30.8,8.6,0.6,24498.00 ,4.5,1
E01003506,Newham 034D,14.6,30.5,15.3,19.8,30.2,7.8,0.7,23896.00 ,3,0
E01033574,Newham 034F,35.3,10,13.5,69.9,2.9,1.1,0.5,51368.00 ,2,2
E01033575,Newham 034G,36.6,7.2,8.8,78,2.3,0.4,0.4,47945.00 ,2.7,0
E01033576,Newham 034H,24.8,15.8,15,39.8,15.2,4.6,0.5,35669.00 ,3.7,0
E01033584,Newham 034I,14.7,30.8,10.3,15.2,30.1,6.1,0.6,24457.00 ,2.9,0
E01033585,Newham 034J,19.9,26.9,10.3,30.2,25,6.7,0.5,25535.00 ,4.5,1
E01003479,Newham 035A,15.2,19.1,26.8,40.7,17.4,4.7,0.7,30690.00 ,2.2,2
E01003481,Newham 035B,18.7,19.9,21.8,23.2,20,6.4,0.7,26600.00 ,2.8,0
E01003485,Newham 035C,25.9,16.8,30.4,37.9,18.1,4.5,0.8,32428.00 ,2.2,2
E01003513,Newham 035D,19.3,20,35.3,38.7,14,3.7,0.9,35772.00 ,2.5,2
E01003511,Newham 036A,13.3,38.1,10.4,11.3,28.8,7,0.6,23300.00 ,2.6,2
E01003512,Newham 036B,12.6,28,20.8,23.3,32.1,8.2,0.6,24996.00 ,3.7,0
E01003514,Newham 036C,11.2,25.7,17.9,20.5,28.9,6.8,0.7,24739.00 ,3.1,0
E01003515,Newham 036D,13.9,33.4,11.9,18.7,28.6,6.6,0.5,23678.00 ,3.6,0
E01003517,Newham 036E,14.7,32,19.3,19,25.5,6.5,0.7,25466.00 ,3,0
E01003609,Newham 037A,21.3,24.7,15.5,37.4,17.2,4.3,0.6,34386.00 ,2.8,0
E01003611,Newham 037C,14,44.2,10.6,21.1,21.9,5.5,0.5,23947.00 ,3,0
E01033577,Newham 037E,20.2,18.3,19.9,49.2,8.8,2.8,0.8,48455.00 ,3,0
E01033580,Newham 037F,30,8.6,28.8,58,5.3,1.6,0.7,54644.00 ,2.8,0
E01033581,Newham 037G,14.1,31.9,17.6,28.4,22.7,5.9,0.6,30231.00 ,2.7,0
E01033582,Newham 037H,25.1,11.7,30.4,59.6,5.9,1.2,0.9,45444.00 ,2.6,2
E01004029,Southwark 001A,21.9,7.8,21.9,41,6.7,2,0.5,46752.00 ,5.2,1
E01004032,Southwark 001B,26.9,3.6,30.7,43.3,4.3,1.5,0.6,54543.00 ,4.9,1
E01004053,Southwark 001C,15.2,2.9,35.5,37.9,6.2,2,0.7,56448.00 ,3.3,0
E01004054,Southwark 001D,16.1,4.4,37,37.6,5.6,2.1,0.8,55789.00 ,2,2
E01004055,Southwark 001E,6,16,11.3,6.4,35.9,9.1,0.7,27175.00 ,2.4,2
E01003927,Southwark 002A,9.7,11.9,16.2,35.6,11.5,4.2,0.3,39099.00 ,8,1
